ENSG00000204946.6,ENSG00000162408.10,ENSG00000089335.17,ENSG00000139890.6,ENSG00000137414.5,ENSG00000276234.1,ENSG00000134897.10,ENSG00000188636.3,ENSG00000163793.9,ENSG00000261678.2,ENSG00000149716.9,ENSG00000129946.7,ENSG00000102921.4,ENSG00000117528.8,ENSG00000108064.7,ENSG00000184277.9,ENSG00000158270.10,ENSG00000176273.11,ENSG00000103034.11,ENSG00000170615.11,ENSG00000182667.11,ENSG00000058673.12,ENSG00000185480.8,ENSG00000143882.6,ENSG00000144136.7,ENSG00000187266.10,ENSG00000142864.11,ENSG00000114631.10,ENSG00000089486.13,ENSG00000170927.11,ENSG00000138660.8,ENSG00000174720.12,ENSG00000213654.6,ENSG00000119314.12,ENSG00000174456.10,ENSG00000161249.17,ENSG00000266074.5,ENSG00000105948.10,ENSG00000183971.5,ENSG00000131711.11,ENSG00000130675.11,ENSG00000108654.8,ENSG00000118523.5,ENSG00000162975.4,ENSG00000143162.7,ENSG00000139044.7,ENSG00000172572.6,ENSG00000105649.6,ENSG00000162592.5,ENSG00000182621.13
0.0151276020680271,0,0,0,0.0222938121663236,0.056084695241055,-0.116443619345103,0,-0.0707451653553323,0.00425401214945174,1.10524702020883,0,-0.10048713973902,-0.098859883100321,0,0.0394409516502292,-0.141756675593252,-0.0151219407758519,0.0695153425958834,0,0.0743811861702617,-0.03427737607473,-0.115703112355041,-0.0250141095010199,0,0,-0.0602378441818192,0.0354270945981568,0.0805905485696336,0,0,0,0.0224102017421599,-0.029729526444364,0.065332296997369,0,0,-0.0761020243452429,-0.182973196364903,0,0,-0.0165096443890862,0.0453241972697867,-0.0942595839692205,0,-0.0406821437068377,-0.0208407668636292,-0.046142373823957,0,0
0,0,0,0.0154511683808655,0,0,-0.0980569444747638,0.0293120851347697,0,0.116310773863292,0,1.15746285730859,0,-0.15655056273536,0.0248615282123704,-0.0409150784439046,0,-0.0869280313261346,-0.131971460247128,0.146699439789943,-0.140580228882436,0.039502394130686,-0.0780628818687033,-0.0802037661808364,0,0,0,-0.0648110490430139,0,0.146256502803272,0.226137174324669,0,0,0,0,0.0819004586619918,0.0456372451762595,0,0,0,0,0.0779511003013402,0.0274149890008809,0,0,-0.0527007207220385,0,-0.0554083832701042,0,0
0.0141147273584691,0.00114897618229306,0,-0.105034623059276,0,-0.0173139959933683,0,-0.121116960491141,0,0,-0.100488222741743,0,1.10480263677538,0.035298566470869,0.0856978408131806,0,-0.0189267411470823,0,-0.100733204197919,-0.133545095202211,-0.200162829754648,0,0.138068123819355,-0.0367582845087799,0,0,0.0384477453394256,-0.0104338537540153,0.0153199894702579,0,0,0,0,0.0246993764650485,0,0,0,0,0.0155282106548504,0.0330546701508423,0,0,0,0,0,0,0.00615810661422544,-0.0579997637018888,-0.125155617514738,-0.0752134921501632
-0.0728828135374206,0,-0.0740536156267997,0.0333558343058086,0,-0.0291606204826124,0,0,-0.201819610888922,0.0506456396853196,-0.0988575190549817,-0.156549040677262,0.0352978463674072,1.20081750289378,-0.0353849555967462,0,0,0,-0.0402252680069318,0,-0.041721223049958,0,0.0104341202995241,-0.0831102718160951,-0.0278556859084656,-0.047684440586483,-0.112626349083578,-0.0783149633775366,-0.0609220444136312,-0.0507442181083491,-0.109449171109853,0,0.0621317292167081,0.0319350938370994,-0.00614628465220677,0,0,0,0,0,-0.071193719644153,0,0,0,-0.247551943588495,-0.053320971393398,0.0640877310026731,-0.0944865843903718,0.011856980842966,0
0,0,0,0.030545786643481,0,-0.00427659569621909,0.0458369777262745,0.0123982020807689,0,0,0,0.0248627919516594,0.0856982835224794,-0.0353855525986982,1.05001967255655,0.00233494506074049,0,-0.163191045149928,-0.0866391110473558,0,-0.14893659855717,0,0.0391882401024811,0.0583862338250699,0,0.0315861987000248,0.0255012023916231,0,0,0.0613397057565089,-0.00255728157511184,0,-0.1033796300028,0,0,0,0,0,0,0,-0.0607393372534055,-0.0566994585752042,-0.0136818576281771,0.0144841342504999,0.0354150312028147,0,0,0.0156091859308244,0,-0.01637621747457
-0.0415017069427637,0,-0.0227043726800282,0,0.173545534379068,-0.0577450793450203,0,-0.0708072725485469,0,0.0413582543804345,0.0394449567954939,-0.0409174596035699,0,0,0.00233506487529583,1.29860136160535,0.0754387767526085,0,-0.080548315732863,0,0.275852406480408,-0.0350367234264698,0.0352001260746208,0.00920972190798059,-0.0784471281260668,-0.0833066820745661,0.0298805259233816,0,0,0,0,0.00447446068663497,0,-0.125685837379313,-0.0380142799006082,-0.0188330987367775,0,0,0,-0.134852276572762,0,-0.00668801266745304,0,0,-0.0368565255524644,-0.0200680964623192,0.122175620133327,-0.0354369540797933,0.0929865321315492,0.205259710772077
0.0627993704904277,0.00231704521207034,0.0128438560856044,-0.18264974266457,0.031150885858698,0,0.115940410521478,0.125768535660083,-0.0153239001809836,-0.0302637126509649,-0.141757219560037,0,-0.0189269018640326,0,0,0.0754384277345328,1.20867448976292,0.0651989320096996,0,-0.0249771211146886,-0.0530850247585935,0,0.0555345483577045,-0.0480742162532761,0.0406261030864464,0,-0.0793458686990484,0.0433969468384129,0,-0.185322032943279,-0.0448821151131292,0,0,-0.0251454571662055,0,-0.000773117497163522,0,0,0,0,0,0,-0.013507841643514,0,0,-0.0769106014783422,-0.130786944807331,-0.0706243221274722,-0.242736662847381,0
0,-0.0212391620518976,0,0.00013147610429404,-0.0261480065738523,0,0,0,0.213441992702857,0,-0.0151209483894577,-0.0869287352108206,0,0,-0.163190969084623,0,0.0651986841069028,1.20413568877661,-0.0544818560394367,0.0635827651965984,0.0825904527465189,0.122185447076778,0,0,-0.0133684776277034,0.0126365789395011,-0.111051578979505,0,0,0.112089385508525,0,-0.0133132046712758,-0.231696381248585,0.0802826600136672,-0.0119743771495883,-0.086190513049125,0,0,0.0082627302071532,-0.0731280261107861,0.078760539843727,0,0,-0.125672440311209,0.000760942677826112,0,0,0,0,-0.027974413324486
0,0,-0.0207094474008112,-0.0179968541516918,-0.061332021988484,-0.0257204422635775,0.258816839683739,-0.0510687221123847,0.0733486623157343,-0.0186919440332519,0.0695158284137715,-0.131974044731415,-0.100735769878602,-0.0402273834002112,-0.0866404057158699,-0.0805440324487383,0,-0.0544827867984541,1.33758505572626,0,0,0.000328201252794288,0.0158124049554298,0.0205801632588619,-0.0504671452347152,0,0,0,0,0.0101092675487308,-0.11433589359924,0,-0.0257567124804538,-0.216875658493053,0.0168782067002394,0,0.125905706243279,0,0,-0.286261161788415,-0.0275063117810256,-0.109444445341449,-0.00265456554661474,-0.0991579129572288,0,0.0153706613529227,0,-0.0625610554824199,0,0
-0.0539766717835536,0.037328419913605,0,0,0,-0.00389475581810445,0.0564851988352928,0,0.0409401981213409,0,0,0.14669976821042,-0.133544456112125,0,0,0,-0.0249784222605811,0.0635830628013636,0,1.11228996988782,0,0,0,0.0125528074574988,0,0.0312925537950457,0,0,0,0,0.0576776364448779,0,0,0,0,0.0567962246316121,0,-0.0191986713312257,-0.145980911215628,0.0460898383094057,-0.202424233506155,0,0.0193114041613806,-0.00113003522677753,0,0.078565529949475,0.00744737879928621,0.0524126000033535,0,-0.0876772785960788
